,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CEP,Aprovado,Reprovado,lat,long,inice
0,0,0,0,0,162,127,44.200796999999994,24.502298100000004,0.5605536332179931
1,1,1,1,59290000,64,45,,,0.5871559633027523
2,2,2,2,59570000,49,37,,,0.5697674418604651
3,3,3,3,59550000,43,10,-5.4430888999999985,-35.87161370000001,0.8113207547169812
4,4,4,4,59280000,31,35,-5.8949346999999985,-35.4343604,0.4696969696969697
5,5,5,5,59700000,28,2,-5.6455578,-37.8512309,0.9333333333333332
6,6,6,6,59152600,20,7,-5.8891056,-35.2081512,0.7407407407407407
7,7,7,7,59650000,20,5,-5.4652715,-37.0400339,0.8
8,8,8,8,59347000,19,8,,,0.7037037037037037
9,9,9,9,59151250,17,10,-5.873117700000001,-35.215692,0.6296296296296297
10,10,10,10,59360000,16,4,-6.7180078,-36.6525696,0.8
11,11,11,11,59151400,16,4,,,0.8
12,12,12,12,59575000,16,23,-5.676539900000001,-35.2807624,0.41025641025641024
13,13,13,13,59082160,14,1,-5.8637315,-35.19513679999999,0.9333333333333332
14,14,14,14,59380000,14,14,-6.238218,-36.4797126,0.5
15,15,15,15,59585000,14,0,-5.1895859,-35.76252410000001,1.0
16,16,16,16,59590000,14,4,-5.2014353999999985,-36.11108,0.7777777777777778
17,17,17,17,59330000,14,0,-6.0570863999999975,-36.9970831,1.0
18,18,18,18,59400000,13,6,,,0.6842105263157895
19,19,19,19,59300000,13,5,-6.469643899999999,-37.0829593,0.7222222222222222
20,20,20,20,59200000,13,12,,,0.52
21,21,21,21,59064500,13,6,,,0.6842105263157895
22,22,22,22,59190000,13,8,-6.3930308999999985,-35.19286339999999,0.6190476190476191
23,23,23,23,59151427,13,5,-5.8920029000000005,-35.2031309,0.7222222222222222
24,24,24,24,59080115,13,5,-5.8549375999999995,-35.2080175,0.7222222222222222
25,25,25,25,59182000,12,10,-6.0912649000000005,-35.4124355,0.5454545454545454
26,26,26,26,59020030,12,5,-5.7839057999999985,-35.200545399999996,0.7058823529411765
27,27,27,27,59162000,12,9,-6.0301136,-35.2807624,0.5714285714285714
28,28,28,28,59173000,12,9,-6.2858448,-35.19286339999999,0.5714285714285714
29,29,29,29,59374000,12,5,-6.567938400000001,-36.5445805,0.7058823529411765
30,30,30,30,59115190,11,11,-5.7613328,-35.281974,0.5
31,31,31,31,59022500,11,4,-5.8005578999999985,-35.202689299999996,0.7333333333333333
32,32,32,32,59500000,11,4,-5.1942574,-36.4797126,0.7333333333333333
33,33,33,33,59150666,10,1,-5.881965,-35.2167874,0.9090909090909092
34,34,34,34,59152820,10,8,-5.8871139999999995,-35.213128499999996,0.5555555555555556
35,35,35,35,59072150,10,5,-5.8274190999999975,-35.2497287,0.6666666666666666
36,36,36,36,59150500,10,7,,,0.5882352941176471
37,37,37,37,59112430,10,4,-5.7505465,-35.2589518,0.7142857142857143
38,38,38,38,59460000,10,4,-5.9237912,-35.76252410000001,0.7142857142857143
39,39,39,39,59149150,9,6,-5.8836954000000015,-35.2500409,0.6
40,40,40,40,59070340,9,3,-5.8276785,-35.23680820000001,0.75
41,41,41,41,59040240,9,4,-5.7935172999999995,-35.22313629999999,0.6923076923076923
42,42,42,42,59106114,9,10,,,0.4736842105263158
43,43,43,43,59140200,9,0,-5.9206807999999995,-35.2623635,1.0
44,44,44,44,59149390,9,1,-5.880249,-35.2494836,0.9
45,45,45,45,59151410,9,5,,,0.6428571428571429
46,46,46,46,59810000,9,2,-6.028499099999999,-37.9996401,0.8181818181818182
47,47,47,47,59310000,9,4,-6.6888318999999985,-37.1901616,0.6923076923076923
48,48,48,48,59518000,9,4,-5.8393161,-36.8895956,0.6923076923076923
49,49,49,49,59255000,9,5,-6.3333417,-35.5000999,0.6428571428571429
50,50,50,50,59900000,9,2,-6.1178040000000005,-38.168855900000004,0.8181818181818182
51,51,51,51,59151480,9,4,-5.886791099999999,-35.20299160000001,0.6923076923076923
52,52,52,52,59270000,8,6,,,0.5714285714285714
53,53,53,53,59082180,8,6,-5.8650484999999986,-35.1934463,0.5714285714285714
54,54,54,54,59148323,8,5,-5.893140199999999,-35.2379803,0.6153846153846154
55,55,55,55,59125370,8,2,-5.7437214999999995,-35.2423058,0.8
56,56,56,56,59073250,8,6,-5.8548512000000015,-35.2559635,0.5714285714285714
57,57,57,57,59080480,7,4,-5.8603575,-35.20945850000001,0.6363636363636364
58,58,58,58,59086360,7,1,-5.8683894,-35.2123695,0.875
59,59,59,59,59091100,7,0,-5.8793568,-35.1955466,1.0
60,60,60,60,59086640,7,0,-5.867590799999999,-35.21047429999999,1.0
61,61,61,61,59088040,7,0,,,1.0
62,62,62,62,59094300,7,2,-5.8712936,-35.1844968,0.7777777777777778
63,63,63,63,59082100,7,13,,,0.35
64,64,64,64,59082070,7,1,,,0.875
65,65,65,65,59088150,7,2,,,0.7777777777777778
66,66,66,66,59082210,7,9,-5.8669341999999975,-35.1911372,0.4375
67,67,67,67,59080040,7,3,,,0.7
68,68,68,68,59080460,7,11,-5.8577641,-35.2111269,0.3888888888888889
69,69,69,69,59547000,7,4,-5.5166416,-36.06759520000001,0.6363636363636364
70,70,70,70,59510000,7,0,-5.4643856,-36.5661908,1.0
71,71,71,71,59078050,7,0,,,1.0
72,72,72,72,59075190,7,5,-5.8252624000000015,-35.2076484,0.5833333333333334
73,73,73,73,59073272,7,2,,,0.7777777777777778
74,74,74,74,59072570,7,0,-5.8325895,-35.242999499999996,1.0
75,75,75,75,59628550,7,0,,,1.0
76,76,76,76,59071300,7,2,,,0.7777777777777778
77,77,77,77,59071140,7,0,,,1.0
78,78,78,78,59064390,7,3,-5.8308646999999985,-35.2196705,0.7
79,79,79,79,59094550,7,0,,,1.0
80,80,80,80,59108245,7,2,,,0.7777777777777778
81,81,81,81,59104212,7,4,-5.7711532,-35.26590179999999,0.6363636363636364
82,82,82,82,59144375,7,0,-5.9462607000000025,-35.2750797,1.0
83,83,83,83,59151610,7,2,,,0.7777777777777778
84,84,84,84,59150600,7,0,-5.880031199999999,-35.2195599,1.0
85,85,85,85,59150570,7,0,-5.8775692,-35.2200352,1.0
86,86,86,86,59215970,7,4,,,0.6363636363636364
87,87,87,87,59150350,7,0,-5.8809209000000005,-35.21346120000001,1.0
88,88,88,88,59150220,7,4,,,0.6363636363636364
89,89,89,89,59149403,7,0,,,1.0
90,90,90,90,59062195,7,0,-5.812823499999999,-35.2298125,1.0
91,91,91,91,59148783,7,3,,,0.7
92,92,92,92,59148450,7,0,-5.8905667999999975,-35.232726,1.0
93,93,93,93,59146810,7,0,-5.8993288,-35.269282200000006,1.0
94,94,94,94,59145810,7,0,-5.9091344,-35.2747719,1.0
95,95,95,95,59140710,7,1,-5.9275218,-35.26799279999999,0.875
96,96,96,96,59106090,7,0,-5.7664879,-35.2699866,1.0
97,97,97,97,59125335,7,1,,,0.875
98,98,98,98,59124090,7,2,-5.752227099999999,-35.2453869,0.7777777777777778
99,99,99,99,59124000,7,0,-5.7449214999999985,-35.2506296,1.0
100,100,100,100,59123700,7,2,-5.7360343,-35.2484241,0.7777777777777778
101,101,101,101,59122495,7,0,-5.750007900000001,-35.2257875,1.0
102,102,102,102,59122390,7,0,-5.7521195,-35.236289899999996,1.0
103,103,103,103,59115555,7,0,,,1.0
104,104,104,104,59324000,7,0,-6.3309242,-37.2758086,1.0
105,105,105,105,59114253,7,2,-5.7420026,-35.2760376,0.7777777777777778
106,106,106,106,59343000,7,3,,,0.7
107,107,107,107,59151240,7,0,,,1.0
108,108,108,108,59440000,7,0,-6.086917099999999,-35.93699520000001,1.0
109,109,109,109,59062570,7,4,-5.820260999999999,-35.2155139,0.6363636363636364
110,110,110,110,59110400,7,2,-5.753230900000001,-35.2544521,0.7777777777777778
111,111,111,111,59042050,7,0,,,1.0
112,112,112,112,51011480,7,4,-8.0983359,-34.8861792,0.6363636363636364
113,113,113,113,59014040,7,4,-5.7845125999999985,-35.19323629999999,0.6363636363636364
114,114,114,114,59056180,7,3,-5.8172266,-35.2068032,0.7
115,115,115,115,5163000,7,0,,,1.0
116,116,116,116,59054220,7,0,-5.8143709,-35.214206,1.0
117,117,117,117,59032158,7,0,-5.8053685999999995,-35.216412,1.0
118,118,118,118,59030470,7,0,-5.7976847000000005,-35.2092659,1.0
119,119,119,119,59054530,7,0,-5.8138789000000015,-35.216546,1.0
120,120,120,120,6321200,7,2,,,0.7777777777777778
121,121,121,121,59022530,7,0,-5.8038906,-35.2057677,1.0
122,122,122,122,59056140,7,6,-5.8149137999999985,-35.2025253,0.5384615384615384
123,123,123,123,18150000,7,0,-23.810752800000003,-47.1752123,1.0
124,124,124,124,35700416,7,0,-19.445939199999998,-44.2526881,1.0
125,125,125,125,59054620,6,0,-5.8101809000000015,-35.21507589999999,1.0
126,126,126,126,59090190,6,1,-5.880117,-35.17483,0.8571428571428571
127,127,127,127,59012200,6,1,-5.77501,-35.20413939999999,0.8571428571428571
128,128,128,128,59086650,6,4,-5.871650700000001,-35.2100811,0.6
129,129,129,129,59584000,6,1,-5.2573734000000005,-35.52200120000001,0.8571428571428571
130,130,130,130,59086320,6,0,,,1.0
131,131,131,131,59082370,6,1,-5.8701687000000025,-35.1919293,0.8571428571428571
132,132,132,132,59080470,6,7,,,0.4615384615384616
133,133,133,133,59054650,6,0,-5.812118700000001,-35.21223,1.0
134,134,134,134,59072580,6,6,-5.8329980999999975,-35.2425418,0.5
135,135,135,135,59073140,6,0,,,1.0
136,136,136,136,59078220,6,3,-5.8435026,-35.202444899999996,0.6666666666666666
137,137,137,137,59090620,6,6,-5.8854788000000005,-35.1689881,0.5
138,138,138,138,59078110,6,2,-5.8400745,-35.204712799999996,0.75
139,139,139,139,59054560,6,9,,,0.4
140,140,140,140,59075810,6,0,,,1.0
141,141,141,141,59090500,6,1,,,0.8571428571428571
142,142,142,142,59185000,6,1,-6.333841899999999,-35.379537,0.8571428571428571
143,143,143,143,1507000,6,0,,,1.0
144,144,144,144,59012570,6,10,,,0.375
145,145,145,145,59020400,6,0,-5.7874051,-35.2012323,1.0
146,146,146,146,59150160,6,5,,,0.5454545454545454
147,147,147,147,59149300,6,4,-5.8827023999999986,-35.2452865,0.6
148,148,148,148,59147495,6,0,-5.901867699999999,-35.27146079999999,1.0
149,149,149,149,59145760,6,0,-5.9114010000000015,-35.2758375,1.0
150,150,150,150,59145630,6,3,-5.912432,-35.2793711,0.6666666666666666
151,151,151,151,59141300,6,6,-5.921855499999999,-35.2780323,0.5
152,152,152,152,59140840,6,1,-5.919487300000001,-35.2669335,0.8571428571428571
153,153,153,153,59151903,6,7,,,0.4615384615384616
154,154,154,154,59140355,6,2,-5.9253754,-35.2624106,0.75
155,155,155,155,59030180,6,0,-5.7950960999999985,-35.2112894,1.0
156,156,156,156,59152070,6,7,,,0.4615384615384616
157,157,157,157,59132430,6,3,-5.7362438,-35.23696229999999,0.6666666666666666
158,158,158,158,59132310,6,4,-5.7336332,-35.237232,0.6
159,159,159,159,59131340,6,5,,,0.5454545454545454
160,160,160,160,59153150,6,2,-5.9080876,-35.192554799999996,0.75
161,161,161,161,59153155,6,2,,,0.75
162,162,162,162,59032240,6,0,-5.8089900000000005,-35.21172100000001,1.0
163,163,163,163,59120638,6,3,,,0.6666666666666666
164,164,164,164,59155410,6,0,-5.924265399999999,-35.2482221,1.0
165,165,165,165,59158150,6,4,,,0.6
166,166,166,166,59161050,6,0,,,1.0
167,167,167,167,59070140,6,2,-5.8224934999999975,-35.233292799999994,0.75
168,168,168,168,59612020,6,1,-5.174674400000002,-37.35689050000001,0.8571428571428571
169,169,169,169,59150300,6,3,-5.8802767,-35.211979,0.6666666666666666
170,170,170,170,59730000,6,1,-5.983596700000001,-37.70250120000001,0.8571428571428571
171,171,171,171,59066800,6,3,-5.8328693,-35.2130273,0.6666666666666666
172,172,172,172,59068130,6,2,-5.8596913,-35.2421799,0.75
173,173,173,173,59065030,6,4,,,0.6
174,174,174,174,59062530,6,3,-5.8210446,-35.2182153,0.6666666666666666
175,175,175,175,59067330,6,0,-5.8678588,-35.23135800000001,1.0
176,176,176,176,60025062,6,0,,,1.0
177,177,177,177,59064230,5,7,-5.8294326,-35.22617490000001,0.4166666666666667
178,178,178,178,59088310,5,2,-5.873927,-35.2045089,0.7142857142857143
179,179,179,179,59108300,5,0,-5.7647362,-35.25560460000001,1.0
180,180,180,180,59144276,5,7,-5.9380092000000015,-35.27889229999999,0.4166666666666667
181,181,181,181,59025400,5,3,-5.783862099999999,-35.2048064,0.625
182,182,182,182,59076725,5,1,,,0.8333333333333334
183,183,183,183,59078040,5,0,-5.8392594,-35.205117,1.0
184,184,184,184,59078410,5,0,-5.8448739000000005,-35.19799120000001,1.0
185,185,185,185,59145580,5,2,-5.9117422,-35.2782779,0.7142857142857143
